provider,mode,category,hit_at_k,recall_at_k,precision_at_k,reciprocal_rank,all_relevant_at_k,prohibited_at_k,prohibited_count,useful_before_harmful,returned_chars,returned_words,latency_ms
mem0,raw,conflict,1.0,1.0,0.2,1.0,1.0,0.0,0.0,,497.0,68.0,519.6628329576924
mem0,raw,exact,1.0,1.0,0.20000000000000004,1.0,1.0,0.0,0.0,1.0,564.6666666666666,83.66666666666667,545.5481943208724
mem0,raw,multihop,1.0,1.0,0.6,1.0,1.0,0.0,0.0,,471.5,60.5,516.791729547549
mem0,raw,negative,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,422.5,61.0,526.893416477833
mem0,raw,procedure,1.0,1.0,0.2,0.9,1.0,0.2,1.0,0.8,620.2,89.8,520.8493750076741
mem0,raw,protocol,1.0,0.5,0.2,1.0,0.0,0.0,0.0,1.0,650.0,101.0,526.5232080128044
mem0,raw,scope,1.0,1.0,0.20000000000000004,1.0,1.0,0.13333333333333333,0.6666666666666666,1.0,378.0,54.0,508.15643032547086
mem0,raw,semantic,1.0,1.0,0.20000000000000004,1.0,1.0,0.0,0.0,,603.3333333333334,92.66666666666667,557.1448749785001
mem0,raw,temporal_asof,1.0,1.0,0.2,1.0,1.0,0.2,1.0,1.0,416.0,58.5,523.3019585139118
mem0,raw,temporal_current,0.75,0.75,0.15000000000000002,0.5,0.75,0.15000000000000002,0.75,0.3333333333333333,496.75,71.75,527.3060731997248
