provider,mode,query_id,category,hit_at_k,recall_at_k,precision_at_k,reciprocal_rank,all_relevant_at_k,prohibited_at_k,prohibited_count,useful_before_harmful,returned_count,returned_chars,returned_words,latency_ms,retrieved_ids,relevant_ids,prohibited_ids
hindsight,raw,Q001,exact,1.0,1.0,0.2,1.0,1.0,0.0,0,,5,598,92,701.5854580095038,"['M001', 'M026', 'M027', 'M045', 'M022']",['M001'],[]
hindsight,raw,Q002,exact,1.0,1.0,0.2,1.0,1.0,0.0,0,,5,481,72,354.79858389589936,"['M002', 'M004', 'M003', 'M024', 'M023']",['M002'],[]
hindsight,raw,Q003,exact,1.0,1.0,0.2,1.0,1.0,0.4,2,1.0,5,280,42,351.32112505380064,"['M005', 'M035', 'M036', 'M038', 'M018']",['M005'],"['M035', 'M036']"
hindsight,raw,Q004,semantic,1.0,1.0,0.2,1.0,1.0,0.0,0,,5,586,88,380.79395797103643,"['M006', 'M045', 'M046', 'M047', 'M026']",['M006'],[]
hindsight,raw,Q005,semantic,1.0,1.0,0.2,1.0,1.0,0.0,0,,5,586,92,396.3205839972943,"['M007', 'M045', 'M038', 'M026', 'M006']",['M007'],[]
hindsight,raw,Q006,semantic,1.0,1.0,0.2,1.0,1.0,0.0,0,,5,413,67,368.36954206228256,"['M008', 'M049', 'M050', 'M048', 'M042']",['M008'],[]
hindsight,raw,Q007,temporal_current,1.0,1.0,0.2,1.0,1.0,0.2,1,1.0,5,323,49,350.8038750151172,"['M012', 'M011', 'M048', 'M038', 'M018']",['M012'],['M011']
hindsight,raw,Q008,temporal_current,1.0,1.0,0.2,1.0,1.0,0.2,1,1.0,5,359,52,370.08883303496987,"['M014', 'M013', 'M031', 'M045', 'M032']",['M014'],['M013']
hindsight,raw,Q009,temporal_current,1.0,1.0,0.2,1.0,1.0,0.2,1,1.0,5,409,63,388.6214589001611,"['M016', 'M015', 'M040', 'M017', 'M046']",['M016'],['M015']
hindsight,raw,Q010,temporal_asof,1.0,1.0,0.2,0.5,1.0,0.2,1,0.0,5,400,58,413.8002920662984,"['M014', 'M013', 'M016', 'M031', 'M045']",['M013'],['M014']
hindsight,raw,Q011,temporal_asof,1.0,1.0,0.2,0.5,1.0,0.2,1,0.0,5,401,59,380.791874951683,"['M012', 'M011', 'M016', 'M009', 'M010']",['M011'],['M012']
hindsight,raw,Q012,multihop,1.0,1.0,0.6,1.0,1.0,0.0,0,,5,432,62,406.1529579339549,"['M017', 'M040', 'M018', 'M019', 'M001']","['M017', 'M018', 'M019']",[]
hindsight,raw,Q013,multihop,1.0,1.0,0.6,1.0,1.0,0.0,0,,5,329,44,384.1792499879375,"['M022', 'M020', 'M021', 'M038', 'M041']","['M020', 'M021', 'M022']",[]
hindsight,raw,Q014,procedure,1.0,1.0,0.2,1.0,1.0,0.2,1,1.0,5,574,90,363.326916936785,"['M023', 'M024', 'M002', 'M019', 'M007']",['M023'],['M024']
hindsight,raw,Q015,procedure,1.0,1.0,0.2,1.0,1.0,0.2,1,1.0,5,639,93,368.784417049028,"['M025', 'M026', 'M006', 'M008', 'M043']",['M025'],['M026']
hindsight,raw,Q016,procedure,1.0,1.0,0.2,0.3333333333333333,1.0,0.2,1,0.0,5,530,77,385.02162497024983,"['M009', 'M028', 'M027', 'M010', 'M037']",['M027'],['M028']
hindsight,raw,Q017,procedure,1.0,1.0,0.2,1.0,1.0,0.2,1,1.0,5,591,84,364.9477500002831,"['M044', 'M045', 'M014', 'M046', 'M006']",['M044'],['M045']
hindsight,raw,Q018,procedure,1.0,1.0,0.2,1.0,1.0,0.2,1,1.0,5,573,83,369.4339159410447,"['M046', 'M047', 'M045', 'M044', 'M006']",['M046'],['M047']
hindsight,raw,Q019,scope,1.0,1.0,0.2,1.0,1.0,0.2,1,1.0,5,305,45,359.73829100839794,"['M029', 'M031', 'M030', 'M033', 'M014']",['M029'],['M030']
hindsight,raw,Q020,scope,1.0,1.0,0.2,1.0,1.0,0.2,1,1.0,5,254,38,351.8962919479236,"['M032', 'M031', 'M030', 'M018', 'M034']",['M032'],['M031']
hindsight,raw,Q021,scope,1.0,1.0,0.2,1.0,1.0,0.2,1,1.0,5,285,40,358.1305840052664,"['M033', 'M034', 'M031', 'M029', 'M043']",['M033'],['M034']
hindsight,raw,Q022,temporal_current,1.0,1.0,0.2,1.0,1.0,0.2,1,1.0,5,359,53,386.63658406585455,"['M042', 'M041', 'M043', 'M049', 'M048']",['M042'],['M041']
hindsight,raw,Q023,conflict,1.0,1.0,0.2,1.0,1.0,0.0,0,,5,475,68,379.5102499425411,"['M043', 'M042', 'M041', 'M026', 'M014']",['M043'],[]
hindsight,raw,Q024,protocol,1.0,1.0,0.4,1.0,1.0,0.2,1,1.0,5,530,77,361.7040839744732,"['M010', 'M027', 'M028', 'M009', 'M037']","['M009', 'M010']","['M037', 'M038']"
hindsight,raw,Q025,negative,0.0,1.0,0.0,0.0,0.0,0.0,0,,5,329,48,359.27433299366385,"['M004', 'M005', 'M036', 'M014', 'M013']",[],[]
hindsight,raw,Q026,negative,0.0,1.0,0.0,0.0,0.0,0.0,0,,5,336,51,363.2464159745723,"['M050', 'M006', 'M048', 'M032', 'M011']",[],[]
