provider,mode,query_id,category,hit_at_k,recall_at_k,precision_at_k,reciprocal_rank,all_relevant_at_k,prohibited_at_k,prohibited_count,useful_before_harmful,returned_count,returned_chars,returned_words,latency_ms,retrieved_ids,relevant_ids,prohibited_ids
agentmemory,raw,Q001,exact,1.0,1.0,0.2,1.0,1.0,0.0,0,,5,504,74,10.59958292171359,"['M001', 'M047', 'M045', 'M043', 'M042']",['M001'],[]
agentmemory,raw,Q002,exact,1.0,1.0,0.2,1.0,1.0,0.0,0,,5,407,58,7.845540996640921,"['M002', 'M003', 'M004', 'M024', 'M037']",['M002'],[]
agentmemory,raw,Q003,exact,1.0,1.0,0.2,1.0,1.0,0.4,2,1.0,5,249,38,7.828000001609325,"['M005', 'M035', 'M036', 'M013', 'M033']",['M005'],"['M035', 'M036']"
agentmemory,raw,Q004,semantic,1.0,1.0,0.2,1.0,1.0,0.0,0,,5,630,95,9.041292010806501,"['M006', 'M026', 'M045', 'M025', 'M047']",['M006'],[]
agentmemory,raw,Q005,semantic,1.0,1.0,0.2,1.0,1.0,0.0,0,,5,590,96,7.66145798843354,"['M007', 'M045', 'M046', 'M026', 'M047']",['M007'],[]
agentmemory,raw,Q006,semantic,1.0,1.0,0.2,1.0,1.0,0.0,0,,5,562,86,9.409959078766406,"['M008', 'M006', 'M010', 'M038', 'M007']",['M008'],[]
agentmemory,raw,Q007,temporal_current,1.0,1.0,0.2,0.5,1.0,0.2,1,0.0,5,287,46,6.711042020469904,"['M011', 'M012', 'M029', 'M048', 'M030']",['M012'],['M011']
agentmemory,raw,Q008,temporal_current,1.0,1.0,0.2,1.0,1.0,0.2,1,1.0,5,281,39,7.793250028043985,"['M014', 'M013', 'M031', 'M032', 'M011']",['M014'],['M013']
agentmemory,raw,Q009,temporal_current,1.0,1.0,0.2,1.0,1.0,0.2,1,1.0,5,320,49,6.211083033122122,"['M016', 'M015', 'M039', 'M018', 'M036']",['M016'],['M015']
agentmemory,raw,Q010,temporal_asof,1.0,1.0,0.2,0.5,1.0,0.2,1,0.0,5,359,52,7.383667048998177,"['M014', 'M013', 'M031', 'M045', 'M032']",['M013'],['M014']
agentmemory,raw,Q011,temporal_asof,1.0,1.0,0.2,1.0,1.0,0.2,1,1.0,5,391,58,7.46308290399611,"['M011', 'M012', 'M040', 'M010', 'M009']",['M011'],['M012']
agentmemory,raw,Q012,multihop,1.0,1.0,0.6,1.0,1.0,0.0,0,,5,432,62,8.553957915864885,"['M017', 'M040', 'M019', 'M018', 'M001']","['M017', 'M018', 'M019']",[]
agentmemory,raw,Q013,multihop,1.0,1.0,0.6,1.0,1.0,0.0,0,,5,421,62,10.01104200258851,"['M020', 'M022', 'M021', 'M039', 'M007']","['M020', 'M021', 'M022']",[]
agentmemory,raw,Q014,procedure,1.0,1.0,0.2,1.0,1.0,0.2,1,1.0,5,512,77,7.327583967708051,"['M023', 'M024', 'M019', 'M002', 'M004']",['M023'],['M024']
agentmemory,raw,Q015,procedure,1.0,1.0,0.2,1.0,1.0,0.2,1,1.0,5,705,106,7.290291949175298,"['M025', 'M026', 'M006', 'M027', 'M008']",['M025'],['M026']
agentmemory,raw,Q016,procedure,1.0,1.0,0.2,0.3333333333333333,1.0,0.2,1,0.0,5,579,87,8.07733298279345,"['M028', 'M009', 'M027', 'M037', 'M007']",['M027'],['M028']
agentmemory,raw,Q017,procedure,1.0,1.0,0.2,1.0,1.0,0.2,1,1.0,5,430,65,6.979665951803327,"['M044', 'M005', 'M017', 'M045', 'M018']",['M044'],['M045']
agentmemory,raw,Q018,procedure,1.0,1.0,0.2,1.0,1.0,0.2,1,1.0,5,569,85,6.183916935697198,"['M046', 'M047', 'M045', 'M027', 'M028']",['M046'],['M047']
agentmemory,raw,Q019,scope,1.0,1.0,0.2,1.0,1.0,0.2,1,1.0,5,305,45,7.268207962624729,"['M029', 'M030', 'M031', 'M033', 'M014']",['M029'],['M030']
agentmemory,raw,Q020,scope,1.0,1.0,0.2,1.0,1.0,0.2,1,1.0,5,232,35,6.794082932174206,"['M032', 'M031', 'M030', 'M034', 'M013']",['M032'],['M031']
agentmemory,raw,Q021,scope,1.0,1.0,0.2,1.0,1.0,0.2,1,1.0,5,261,39,6.963542080484331,"['M033', 'M034', 'M029', 'M031', 'M035']",['M033'],['M034']
agentmemory,raw,Q022,temporal_current,1.0,1.0,0.2,0.5,1.0,0.2,1,0.0,5,439,59,7.173083955422044,"['M041', 'M042', 'M043', 'M044', 'M019']",['M042'],['M041']
agentmemory,raw,Q023,conflict,1.0,1.0,0.2,0.5,1.0,0.0,0,,5,401,56,6.241832976229489,"['M042', 'M043', 'M041', 'M034', 'M044']",['M043'],[]
agentmemory,raw,Q024,protocol,1.0,1.0,0.4,1.0,1.0,0.2,1,1.0,5,530,77,6.963833002373576,"['M010', 'M028', 'M027', 'M037', 'M009']","['M009', 'M010']","['M037', 'M038']"
agentmemory,raw,Q025,negative,0.0,1.0,0.0,0.0,0.0,0.0,0,,5,302,45,5.658249952830374,"['M017', 'M018', 'M036', 'M005', 'M035']",[],[]
agentmemory,raw,Q026,negative,0.0,1.0,0.0,0.0,0.0,0.0,0,,5,443,68,6.90545910038054,"['M011', 'M010', 'M009', 'M027', 'M050']",[],[]
