provider,mode,query_id,category,hit_at_k,recall_at_k,precision_at_k,reciprocal_rank,all_relevant_at_k,prohibited_at_k,prohibited_count,useful_before_harmful,returned_count,returned_chars,returned_words,latency_ms,retrieved_ids,relevant_ids,prohibited_ids
membukkit,raw,Q001,exact,1.0,1.0,0.2,1.0,1.0,0.0,0,,5,657,94,544.896624982357,"['M001', 'M096', 'M156', 'M216', 'M456']",['M001'],[]
membukkit,raw,Q002,exact,1.0,1.0,0.2,1.0,1.0,0.0,0,,5,519,59,284.09249999094754,"['M002', 'M004', 'M198', 'M438', 'M498']",['M002'],[]
membukkit,raw,Q003,exact,1.0,1.0,0.2,1.0,1.0,0.0,0,1.0,5,539,83,298.40129101648927,"['M005', 'M052', 'M172', 'M292', 'M352']",['M005'],"['M035', 'M036']"
membukkit,raw,Q004,semantic,1.0,1.0,0.2,1.0,1.0,0.0,0,,5,582,85,414.83870800584555,"['M006', 'M193', 'M433', 'M045', 'M047']",['M006'],[]
membukkit,raw,Q005,semantic,1.0,1.0,0.2,1.0,1.0,0.0,0,,5,614,97,407.7643339987844,"['M007', 'M085', 'M145', 'M205', 'M445']",['M007'],[]
membukkit,raw,Q006,semantic,1.0,1.0,0.2,1.0,1.0,0.0,0,,5,607,87,348.4496659366414,"['M008', 'M060', 'M120', 'M020', 'M420']",['M008'],[]
membukkit,raw,Q007,temporal_current,1.0,1.0,0.2,0.2,1.0,0.2,1,0.0,5,472,71,296.44108400680125,"['M061', 'M011', 'M181', 'M241', 'M012']",['M012'],['M011']
membukkit,raw,Q008,temporal_current,0.0,0.0,0.0,0.0,0.0,0.0,0,,5,603,85,316.75258406903595,"['M101', 'M137', 'M353', 'M377', 'M437']",['M014'],['M013']
membukkit,raw,Q009,temporal_current,1.0,1.0,0.2,0.25,1.0,0.2,1,0.0,5,485,78,298.981791944243,"['M015', 'M215', 'M275', 'M016', 'M455']",['M016'],['M015']
membukkit,raw,Q010,temporal_asof,1.0,1.0,0.3333333333333333,0.3333333333333333,1.0,0.0,0,1.0,3,292,41,362.97466699033976,"['M065', 'M077', 'M013']",['M013'],['M014']
membukkit,raw,Q011,temporal_asof,1.0,1.0,0.5,0.5,1.0,0.0,0,1.0,2,169,24,291.7075839359313,"['M096', 'M011']",['M011'],['M012']
membukkit,raw,Q012,multihop,1.0,0.6666666666666666,0.4,0.5,0.0,0.0,0,,5,448,65,406.59479098394513,"['M002', 'M017', 'M018', 'M040', 'M044']","['M017', 'M018', 'M019']",[]
membukkit,raw,Q013,multihop,1.0,0.6666666666666666,0.4,0.3333333333333333,0.0,0.0,0,,5,574,83,373.5783330630511,"['M007', 'M096', 'M020', 'M022', 'M396']","['M020', 'M021', 'M022']",[]
membukkit,raw,Q014,procedure,1.0,1.0,0.2,0.3333333333333333,1.0,0.2,1,1.0,5,572,90,369.04349992983043,"['M002', 'M133', 'M023', 'M024', 'M045']",['M023'],['M024']
membukkit,raw,Q015,procedure,1.0,1.0,0.2,0.3333333333333333,1.0,0.0,0,1.0,5,624,95,367.35583399422467,"['M205', 'M325', 'M025', 'M385', 'M421']",['M025'],['M026']
membukkit,raw,Q016,procedure,1.0,1.0,0.2,0.25,1.0,0.0,0,1.0,5,690,107,370.53295806981623,"['M067', 'M163', 'M187', 'M027', 'M403']",['M027'],['M028']
membukkit,raw,Q017,procedure,1.0,1.0,0.2,0.2,1.0,0.0,0,1.0,5,654,102,317.8263750160113,"['M055', 'M115', 'M355', 'M475', 'M044']",['M044'],['M045']
membukkit,raw,Q018,procedure,1.0,1.0,0.2,0.25,1.0,0.2,1,1.0,5,501,80,304.0749579668045,"['M023', 'M030', 'M045', 'M046', 'M047']",['M046'],['M047']
membukkit,raw,Q019,scope,1.0,1.0,0.2,0.25,1.0,0.0,0,1.0,5,439,64,286.04562499094754,"['M087', 'M207', 'M327', 'M029', 'M447']",['M029'],['M030']
membukkit,raw,Q020,scope,1.0,1.0,0.2,0.25,1.0,0.2,1,0.0,5,351,51,327.558874967508,"['M206', 'M266', 'M031', 'M032', 'M446']",['M032'],['M031']
membukkit,raw,Q021,scope,1.0,1.0,0.2,0.5,1.0,0.2,1,1.0,5,385,55,340.4327919706702,"['M190', 'M033', 'M034', 'M370', 'M490']",['M033'],['M034']
membukkit,raw,Q022,temporal_current,1.0,1.0,0.2,0.25,1.0,0.2,1,0.0,5,458,62,311.6238749353215,"['M106', 'M041', 'M456', 'M042', 'M043']",['M042'],['M041']
membukkit,raw,Q023,conflict,1.0,1.0,0.2,0.2,1.0,0.0,0,,5,497,68,352.71979100070894,"['M180', 'M420', 'M041', 'M042', 'M043']",['M043'],[]
membukkit,raw,Q024,protocol,0.0,0.0,0.0,0.0,0.0,0.0,0,,5,665,105,294.481165939942,"['M055', 'M295', 'M355', 'M415', 'M475']","['M009', 'M010']","['M037', 'M038']"
membukkit,raw,Q025,negative,0.0,1.0,0.0,0.0,0.0,0.0,0,,5,228,36,304.0294999955222,"['M005', 'M011', 'M033', 'M035', 'M036']",[],[]
membukkit,raw,Q026,negative,0.0,1.0,0.0,0.0,0.0,0.0,0,,5,645,90,269.04700009617954,"['M204', 'M028', 'M336', 'M384', 'M444']",[],[]
