provider,mode,query_id,category,hit_at_k,recall_at_k,precision_at_k,reciprocal_rank,all_relevant_at_k,prohibited_at_k,prohibited_count,useful_before_harmful,returned_count,returned_chars,returned_words,latency_ms,retrieved_ids,relevant_ids,prohibited_ids
bm25,raw,Q001,exact,1.0,1.0,0.2,1.0,1.0,0.0,0,,5,614,94,1.6224050004893797,"['M001', 'M496', 'M484', 'M472', 'M460']",['M001'],[]
bm25,raw,Q002,exact,1.0,1.0,0.2,1.0,1.0,0.0,0,,5,442,68,1.4778659997318755,"['M002', 'M023', 'M024', 'M011', 'M021']",['M002'],[]
bm25,raw,Q003,exact,0.0,0.0,0.0,0.0,0.0,0.0,0,,5,628,95,1.1684350001814892,"['M496', 'M484', 'M472', 'M460', 'M448']",['M005'],"['M035', 'M036']"
bm25,raw,Q004,semantic,1.0,1.0,0.2,1.0,1.0,0.0,0,,5,677,106,2.21494499965047,"['M006', 'M007', 'M045', 'M025', 'M026']",['M006'],[]
bm25,raw,Q005,semantic,1.0,1.0,0.2,1.0,1.0,0.0,0,,5,607,96,2.171699999962584,"['M007', 'M045', 'M027', 'M046', 'M047']",['M007'],[]
bm25,raw,Q006,semantic,1.0,1.0,0.2,1.0,1.0,0.0,0,,5,626,94,1.4670090004074154,"['M008', 'M007', 'M006', 'M044', 'M047']",['M008'],[]
bm25,raw,Q007,temporal_current,1.0,1.0,0.2,0.5,1.0,0.2,1,0.0,5,296,45,1.4708349999636994,"['M011', 'M012', 'M048', 'M021', 'M041']",['M012'],['M011']
bm25,raw,Q008,temporal_current,0.0,0.0,0.0,0.0,0.0,0.0,0,,5,563,78,1.48932399952173,"['M022', 'M497', 'M485', 'M473', 'M461']",['M014'],['M013']
bm25,raw,Q009,temporal_current,1.0,1.0,0.2,1.0,1.0,0.2,1,1.0,5,341,52,1.3519739995899727,"['M016', 'M015', 'M039', 'M050', 'M022']",['M016'],['M015']
bm25,raw,Q010,temporal_asof,0.0,0.0,0.0,0.0,0.0,0.0,0,,5,594,90,0.7369499999185791,"['M217', 'M205', 'M193', 'M181', 'M169']",['M013'],['M014']
bm25,raw,Q011,temporal_asof,0.0,0.0,0.0,0.0,0.0,0.0,0,,5,561,84,0.47912799982441356,"['M010', 'M009', 'M193', 'M181', 'M169']",['M011'],['M012']
bm25,raw,Q012,multihop,1.0,0.3333333333333333,0.2,1.0,0.0,0.0,0,,5,407,62,2.4411589993178495,"['M017', 'M040', 'M045', 'M039', 'M494']","['M017', 'M018', 'M019']",[]
bm25,raw,Q013,multihop,1.0,0.6666666666666666,0.4,1.0,0.0,0.0,0,,5,509,74,2.0634149996112683,"['M022', 'M020', 'M045', 'M493', 'M481']","['M020', 'M021', 'M022']",[]
bm25,raw,Q014,procedure,1.0,1.0,0.2,1.0,1.0,0.2,1,1.0,5,554,80,1.559039000312623,"['M023', 'M024', 'M019', 'M002', 'M500']",['M023'],['M024']
bm25,raw,Q015,procedure,1.0,1.0,0.2,1.0,1.0,0.2,1,1.0,5,590,94,1.9120260003546719,"['M025', 'M026', 'M008', 'M044', 'M050']",['M025'],['M026']
bm25,raw,Q016,procedure,0.0,0.0,0.0,0.0,0.0,0.2,1,0.0,5,578,84,1.8383540000286303,"['M028', 'M046', 'M044', 'M009', 'M499']",['M027'],['M028']
bm25,raw,Q017,procedure,1.0,1.0,0.2,1.0,1.0,0.2,1,1.0,5,609,93,1.9743200000448269,"['M044', 'M045', 'M496', 'M484', 'M472']",['M044'],['M045']
bm25,raw,Q018,procedure,1.0,1.0,0.2,0.5,1.0,0.2,1,0.0,5,551,84,1.8668070006242488,"['M047', 'M046', 'M045', 'M493', 'M481']",['M046'],['M047']
bm25,raw,Q019,scope,1.0,1.0,0.2,1.0,1.0,0.0,0,1.0,5,484,70,1.3748390001637745,"['M029', 'M008', 'M495', 'M483', 'M471']",['M029'],['M030']
