provider,mode,query_id,category,hit_at_k,recall_at_k,precision_at_k,reciprocal_rank,all_relevant_at_k,prohibited_at_k,prohibited_count,useful_before_harmful,returned_count,returned_chars,returned_words,latency_ms,retrieved_ids,relevant_ids,prohibited_ids
hindsight,raw,Q001,exact,1.0,1.0,0.2,1.0,1.0,0.0,0,,5,653,94,1346.7563749291003,"['M001', 'M480', 'M420', 'M360', 'M300']",['M001'],[]
hindsight,raw,Q002,exact,1.0,1.0,0.2,1.0,1.0,0.0,0,,5,464,54,1045.5937079386786,"['M002', 'M004', 'M003', 'M498', 'M438']",['M002'],[]
hindsight,raw,Q003,exact,0.0,0.0,0.0,0.0,0.0,0.0,0,,5,630,95,1034.129292005673,"['M472', 'M448', 'M412', 'M496', 'M388']",['M005'],"['M035', 'M036']"
hindsight,raw,Q004,semantic,1.0,1.0,0.2,1.0,1.0,0.0,0,,5,586,88,1246.5049589518458,"['M006', 'M045', 'M046', 'M047', 'M026']",['M006'],[]
hindsight,raw,Q005,semantic,1.0,1.0,0.2,1.0,1.0,0.0,0,,5,658,100,1203.7592499982566,"['M007', 'M045', 'M480', 'M420', 'M360']",['M007'],[]
hindsight,raw,Q006,semantic,1.0,1.0,0.2,1.0,1.0,0.0,0,,5,512,78,1109.8084580153227,"['M008', 'M049', 'M492', 'M050', 'M432']",['M008'],[]
hindsight,raw,Q007,temporal_current,1.0,1.0,0.2,1.0,1.0,0.2,1,1.0,5,375,56,1016.3280840497464,"['M012', 'M011', 'M048', 'M430', 'M250']",['M012'],['M011']
hindsight,raw,Q008,temporal_current,0.0,0.0,0.0,0.0,0.0,0.0,0,,5,594,85,1004.0146670071408,"['M485', 'M425', 'M353', 'M365', 'M449']",['M014'],['M013']
hindsight,raw,Q009,temporal_current,1.0,1.0,0.2,1.0,1.0,0.2,1,1.0,5,485,78,1048.535583075136,"['M016', 'M015', 'M239', 'M059', 'M359']",['M016'],['M015']
hindsight,raw,Q010,temporal_asof,0.0,0.0,0.0,0.0,0.0,0.0,0,,5,593,85,1183.5072910180315,"['M329', 'M089', 'M209', 'M449', 'M149']",['M013'],['M014']
hindsight,raw,Q011,temporal_asof,1.0,1.0,0.2,0.5,1.0,0.2,1,0.0,5,401,59,1113.4265000000596,"['M012', 'M011', 'M016', 'M009', 'M010']",['M011'],['M012']
hindsight,raw,Q012,multihop,1.0,0.6666666666666666,0.4,1.0,0.0,0.0,0,,5,499,69,1308.5634170565754,"['M017', 'M040', 'M018', 'M453', 'M393']","['M017', 'M018', 'M019']",[]
hindsight,raw,Q013,multihop,1.0,0.6666666666666666,0.4,1.0,0.0,0.0,0,,5,524,65,1188.700458034873,"['M022', 'M020', 'M260', 'M500', 'M200']","['M020', 'M021', 'M022']",[]
hindsight,raw,Q014,procedure,1.0,1.0,0.2,1.0,1.0,0.2,1,1.0,5,612,92,1174.7152500320226,"['M023', 'M024', 'M002', 'M492', 'M432']",['M023'],['M024']
hindsight,raw,Q015,procedure,1.0,1.0,0.2,1.0,1.0,0.2,1,1.0,5,662,99,1179.695833940059,"['M025', 'M026', 'M006', 'M493', 'M433']",['M025'],['M026']
hindsight,raw,Q016,procedure,0.0,0.0,0.0,0.0,0.0,0.0,0,,5,644,99,1244.1157080465928,"['M009', 'M475', 'M415', 'M355', 'M295']",['M027'],['M028']
hindsight,raw,Q017,procedure,1.0,1.0,0.2,1.0,1.0,0.2,1,1.0,5,610,93,1368.6494999565184,"['M044', 'M045', 'M460', 'M400', 'M328']",['M044'],['M045']
hindsight,raw,Q018,procedure,1.0,1.0,0.2,1.0,1.0,0.2,1,1.0,5,570,85,1253.8574159843847,"['M046', 'M047', 'M045', 'M044', 'M480']",['M046'],['M047']
hindsight,raw,Q019,scope,1.0,1.0,0.2,1.0,1.0,0.0,0,1.0,5,451,64,1106.276624952443,"['M029', 'M495', 'M435', 'M375', 'M447']",['M029'],['M030']
hindsight,raw,Q020,scope,1.0,1.0,0.2,1.0,1.0,0.2,1,1.0,5,351,51,1037.9595829872414,"['M032', 'M031', 'M470', 'M410', 'M350']",['M032'],['M031']
hindsight,raw,Q021,scope,1.0,1.0,0.2,1.0,1.0,0.2,1,1.0,5,385,55,1117.2425000695512,"['M033', 'M034', 'M490', 'M430', 'M370']",['M033'],['M034']
hindsight,raw,Q022,temporal_current,1.0,1.0,0.2,1.0,1.0,0.2,1,1.0,5,477,68,1072.128750034608,"['M042', 'M041', 'M043', 'M472', 'M352']",['M042'],['M041']
hindsight,raw,Q023,conflict,1.0,1.0,0.2,1.0,1.0,0.0,0,,5,497,68,1157.20587503165,"['M043', 'M042', 'M041', 'M492', 'M432']",['M043'],[]
hindsight,raw,Q024,protocol,1.0,0.5,0.2,1.0,0.0,0.0,0,1.0,5,644,101,1093.8681659754366,"['M010', 'M027', 'M475', 'M415', 'M355']","['M009', 'M010']","['M037', 'M038']"
hindsight,raw,Q025,negative,0.0,1.0,0.0,0.0,0.0,0.0,0,,5,598,85,1053.2711249543354,"['M173', 'M353', 'M473', 'M413', 'M365']",[],[]
hindsight,raw,Q026,negative,0.0,1.0,0.0,0.0,0.0,0.0,0,,5,421,61,1045.7677079830319,"['M050', 'M006', 'M048', 'M032', 'M488']",[],[]
