provider,mode,query_id,category,hit_at_k,recall_at_k,precision_at_k,reciprocal_rank,all_relevant_at_k,prohibited_at_k,prohibited_count,useful_before_harmful,returned_count,returned_chars,returned_words,latency_ms,retrieved_ids,relevant_ids,prohibited_ids
membukkit,raw,Q001,exact,1.0,1.0,0.2,1.0,1.0,0.0,0,,5,561,89,229.92599999997765,"['M001', 'M026', 'M045', 'M046', 'M047']",['M001'],[]
membukkit,raw,Q002,exact,1.0,1.0,0.2,1.0,1.0,0.0,0,,5,389,55,62.21799994818866,"['M002', 'M003', 'M004', 'M017', 'M040']",['M002'],[]
membukkit,raw,Q003,exact,1.0,1.0,0.2,1.0,1.0,0.4,2,1.0,5,247,39,69.09183296374977,"['M005', 'M033', 'M034', 'M035', 'M036']",['M005'],"['M035', 'M036']"
membukkit,raw,Q004,semantic,1.0,1.0,0.2,1.0,1.0,0.0,0,,5,642,97,71.35191606357694,"['M006', 'M025', 'M026', 'M045', 'M046']",['M006'],[]
membukkit,raw,Q005,semantic,1.0,1.0,0.2,1.0,1.0,0.0,0,,5,516,85,63.48487501963973,"['M007', 'M011', 'M026', 'M045', 'M047']",['M007'],[]
membukkit,raw,Q006,semantic,1.0,1.0,0.2,0.5,1.0,0.0,0,,5,463,65,62.72141693625599,"['M006', 'M008', 'M021', 'M037', 'M038']",['M008'],[]
membukkit,raw,Q007,temporal_current,1.0,1.0,0.2,0.3333333333333333,1.0,0.2,1,0.0,5,238,37,58.73520893510431,"['M005', 'M011', 'M012', 'M031', 'M036']",['M012'],['M011']
membukkit,raw,Q008,temporal_current,1.0,1.0,0.2,0.2,1.0,0.2,1,0.0,5,323,45,59.70224994234741,"['M011', 'M013', 'M012', 'M031', 'M014']",['M014'],['M013']
membukkit,raw,Q009,temporal_current,1.0,1.0,0.2,0.2,1.0,0.2,1,0.0,5,359,54,56.27012497279793,"['M015', 'M017', 'M018', 'M039', 'M016']",['M016'],['M015']
membukkit,raw,Q010,temporal_asof,1.0,1.0,1.0,1.0,1.0,0.0,0,1.0,1,54,7,61.38120894320309,['M013'],['M013'],['M014']
membukkit,raw,Q011,temporal_asof,1.0,1.0,1.0,1.0,1.0,0.0,0,1.0,1,33,5,57.65887489542365,['M011'],['M011'],['M012']
membukkit,raw,Q012,multihop,1.0,1.0,0.6,0.5,1.0,0.0,0,,5,416,58,62.520124949514866,"['M002', 'M017', 'M018', 'M019', 'M040']","['M017', 'M018', 'M019']",[]
membukkit,raw,Q013,multihop,1.0,1.0,0.6,1.0,1.0,0.0,0,,5,339,46,64.88937500398606,"['M020', 'M021', 'M022', 'M038', 'M039']","['M020', 'M021', 'M022']",[]
membukkit,raw,Q014,procedure,1.0,1.0,0.2,0.5,1.0,0.2,1,1.0,5,633,106,67.89412500802428,"['M007', 'M023', 'M024', 'M026', 'M045']",['M023'],['M024']
membukkit,raw,Q015,procedure,1.0,1.0,0.2,0.3333333333333333,1.0,0.2,1,1.0,5,677,106,62.73241597227752,"['M006', 'M007', 'M025', 'M026', 'M045']",['M025'],['M026']
membukkit,raw,Q016,procedure,1.0,1.0,0.2,0.3333333333333333,1.0,0.2,1,1.0,5,521,76,66.59316702280194,"['M009', 'M010', 'M027', 'M028', 'M038']",['M027'],['M028']
membukkit,raw,Q017,procedure,1.0,1.0,0.2,0.25,1.0,0.2,1,1.0,5,407,62,57.14204197283834,"['M017', 'M031', 'M033', 'M044', 'M045']",['M044'],['M045']
membukkit,raw,Q018,procedure,1.0,1.0,0.2,0.25,1.0,0.2,1,1.0,5,537,75,61.71195802744478,"['M006', 'M043', 'M045', 'M046', 'M047']",['M046'],['M047']
membukkit,raw,Q019,scope,1.0,1.0,0.2,0.5,1.0,0.2,1,1.0,5,274,42,58.265166939236224,"['M012', 'M029', 'M030', 'M031', 'M033']",['M029'],['M030']
membukkit,raw,Q020,scope,1.0,1.0,0.2,0.2,1.0,0.2,1,0.0,5,244,34,55.29795796610415,"['M011', 'M013', 'M018', 'M031', 'M032']",['M032'],['M031']
membukkit,raw,Q021,scope,1.0,1.0,0.2,0.5,1.0,0.2,1,1.0,5,286,40,63.19304194767028,"['M029', 'M033', 'M034', 'M041', 'M043']",['M033'],['M034']
membukkit,raw,Q022,temporal_current,1.0,1.0,0.2,0.25,1.0,0.2,1,0.0,5,330,46,59.56316692754626,"['M033', 'M034', 'M041', 'M042', 'M043']",['M042'],['M041']
membukkit,raw,Q023,conflict,1.0,1.0,0.2,0.2,1.0,0.0,0,,5,330,46,58.05587500799447,"['M033', 'M034', 'M041', 'M042', 'M043']",['M043'],[]
membukkit,raw,Q024,protocol,1.0,1.0,0.4,1.0,1.0,0.2,1,1.0,5,530,77,61.89129105769098,"['M009', 'M010', 'M027', 'M028', 'M037']","['M009', 'M010']","['M037', 'M038']"
membukkit,raw,Q025,negative,0.0,1.0,0.0,0.0,0.0,0.0,0,,5,231,35,57.21050000283867,"['M005', 'M011', 'M013', 'M035', 'M036']",[],[]
membukkit,raw,Q026,negative,0.0,1.0,0.0,0.0,0.0,0.0,0,,5,249,39,58.94170806277543,"['M011', 'M012', 'M031', 'M032', 'M050']",[],[]
