provider,mode,query_id,category,hit_at_k,recall_at_k,precision_at_k,reciprocal_rank,all_relevant_at_k,prohibited_at_k,prohibited_count,useful_before_harmful,returned_count,returned_chars,returned_words,latency_ms,retrieved_ids,relevant_ids,prohibited_ids
agentmemory,raw,Q001,exact,1.0,1.0,0.2,1.0,1.0,0.0,0,,5,504,74,9.269541944377124,"['M001', 'M047', 'M045', 'M043', 'M042']",['M001'],[]
agentmemory,raw,Q002,exact,1.0,1.0,0.2,1.0,1.0,0.0,0,,5,407,58,6.505207973532379,"['M002', 'M003', 'M004', 'M024', 'M037']",['M002'],[]
agentmemory,raw,Q003,exact,1.0,1.0,0.2,1.0,1.0,0.4,2,1.0,5,249,38,7.919040974229574,"['M005', 'M035', 'M036', 'M013', 'M033']",['M005'],"['M035', 'M036']"
agentmemory,raw,Q004,semantic,1.0,1.0,0.2,1.0,1.0,0.0,0,,5,630,95,6.881583947688341,"['M006', 'M026', 'M045', 'M025', 'M047']",['M006'],[]
agentmemory,raw,Q005,semantic,1.0,1.0,0.2,1.0,1.0,0.0,0,,5,590,96,8.26300005428493,"['M007', 'M045', 'M046', 'M026', 'M047']",['M007'],[]
agentmemory,raw,Q006,semantic,1.0,1.0,0.2,1.0,1.0,0.0,0,,5,562,86,6.646250025369227,"['M008', 'M006', 'M010', 'M038', 'M007']",['M008'],[]
agentmemory,raw,Q007,temporal_current,1.0,1.0,0.2,0.5,1.0,0.2,1,0.0,5,287,46,6.453208043240011,"['M011', 'M012', 'M029', 'M048', 'M030']",['M012'],['M011']
agentmemory,raw,Q008,temporal_current,1.0,1.0,0.2,1.0,1.0,0.2,1,1.0,5,281,39,6.302958005107939,"['M014', 'M013', 'M031', 'M032', 'M011']",['M014'],['M013']
agentmemory,raw,Q009,temporal_current,1.0,1.0,0.2,1.0,1.0,0.2,1,1.0,5,320,49,7.109374972060323,"['M016', 'M015', 'M039', 'M018', 'M036']",['M016'],['M015']
agentmemory,raw,Q010,temporal_asof,1.0,1.0,0.2,0.5,1.0,0.2,1,0.0,5,359,52,7.06854194868356,"['M014', 'M013', 'M031', 'M045', 'M032']",['M013'],['M014']
agentmemory,raw,Q011,temporal_asof,1.0,1.0,0.2,1.0,1.0,0.2,1,1.0,5,391,58,7.02295801602304,"['M011', 'M012', 'M040', 'M010', 'M009']",['M011'],['M012']
agentmemory,raw,Q012,multihop,1.0,1.0,0.6,1.0,1.0,0.0,0,,5,432,62,8.77629208844155,"['M017', 'M040', 'M019', 'M018', 'M001']","['M017', 'M018', 'M019']",[]
agentmemory,raw,Q013,multihop,1.0,1.0,0.6,1.0,1.0,0.0,0,,5,421,62,6.606708047911525,"['M020', 'M022', 'M021', 'M039', 'M007']","['M020', 'M021', 'M022']",[]
agentmemory,raw,Q014,procedure,1.0,1.0,0.2,1.0,1.0,0.2,1,1.0,5,512,77,8.488417020998895,"['M023', 'M024', 'M019', 'M002', 'M004']",['M023'],['M024']
agentmemory,raw,Q015,procedure,1.0,1.0,0.2,1.0,1.0,0.2,1,1.0,5,705,106,5.947332945652306,"['M025', 'M026', 'M006', 'M027', 'M008']",['M025'],['M026']
agentmemory,raw,Q016,procedure,1.0,1.0,0.2,0.3333333333333333,1.0,0.2,1,0.0,5,579,87,7.071250001899898,"['M028', 'M009', 'M027', 'M037', 'M007']",['M027'],['M028']
agentmemory,raw,Q017,procedure,1.0,1.0,0.2,1.0,1.0,0.2,1,1.0,5,430,65,6.769833969883621,"['M044', 'M005', 'M017', 'M045', 'M018']",['M044'],['M045']
agentmemory,raw,Q018,procedure,1.0,1.0,0.2,1.0,1.0,0.2,1,1.0,5,569,85,6.439832970499992,"['M046', 'M047', 'M045', 'M027', 'M028']",['M046'],['M047']
agentmemory,raw,Q019,scope,1.0,1.0,0.2,1.0,1.0,0.2,1,1.0,5,305,45,7.472915924154222,"['M029', 'M030', 'M031', 'M033', 'M014']",['M029'],['M030']
agentmemory,raw,Q020,scope,1.0,1.0,0.2,1.0,1.0,0.2,1,1.0,5,232,35,5.917833070270717,"['M032', 'M031', 'M030', 'M034', 'M013']",['M032'],['M031']
agentmemory,raw,Q021,scope,1.0,1.0,0.2,1.0,1.0,0.2,1,1.0,5,261,39,7.320041069760919,"['M033', 'M034', 'M029', 'M031', 'M035']",['M033'],['M034']
agentmemory,raw,Q022,temporal_current,1.0,1.0,0.2,0.5,1.0,0.2,1,0.0,5,439,59,6.772291962988675,"['M041', 'M042', 'M043', 'M044', 'M019']",['M042'],['M041']
agentmemory,raw,Q023,conflict,1.0,1.0,0.2,0.5,1.0,0.0,0,,5,401,56,6.482292083092034,"['M042', 'M043', 'M041', 'M034', 'M044']",['M043'],[]
agentmemory,raw,Q024,protocol,1.0,1.0,0.4,1.0,1.0,0.2,1,1.0,5,530,77,7.090166094712913,"['M010', 'M028', 'M027', 'M037', 'M009']","['M009', 'M010']","['M037', 'M038']"
agentmemory,raw,Q025,negative,0.0,1.0,0.0,0.0,0.0,0.0,0,,5,302,45,5.983417038805783,"['M017', 'M018', 'M036', 'M005', 'M035']",[],[]
agentmemory,raw,Q026,negative,0.0,1.0,0.0,0.0,0.0,0.0,0,,5,443,68,6.353999953716993,"['M011', 'M010', 'M009', 'M027', 'M050']",[],[]
